param_seed,config_idx,blocked_idx,blocked_edge,flow_blocked,outcome,worst_gap,elapsed_s
27,25,21,"(10, 11)",3,eulerian,0.0,0.037
28,26,0,"(0, 1)",3,eulerian,0.0,0.009
28,26,1,"(0, 11)",-3,eulerian,0.0,0.008
28,26,4,"(1, 5)",3,eulerian,0.0,0.016
28,26,6,"(2, 8)",-1,eulerian,0.0,0.023
28,26,7,"(2, 11)",1,eulerian,0.0,0.006
28,26,8,"(3, 4)",-3,eulerian,0.0,0.022
28,26,9,"(3, 6)",3,eulerian,0.0,0.028
28,26,11,"(4, 5)",-3,eulerian,0.0,0.022
28,26,14,"(6, 9)",3,eulerian,0.0,0.029
28,26,16,"(7, 8)",-3,eulerian,0.0,0.021
28,26,17,"(7, 10)",3,eulerian,0.0,0.02
28,26,18,"(8, 9)",-4,eulerian,0.0,0.009
28,26,20,"(9, 10)",-1,eulerian,0.0,0.006
28,26,21,"(10, 11)",2,eulerian,0.0,0.023
29,27,0,"(0, 1)",-3,eulerian,0.0,0.01
29,27,1,"(0, 11)",3,eulerian,0.0,0.009
29,27,3,"(1, 3)",-3,eulerian,0.0,0.013
29,27,5,"(2, 3)",1,eulerian,0.0,0.025
29,27,6,"(2, 8)",-1,eulerian,0.0,0.023
29,27,8,"(3, 4)",-2,eulerian,0.0,0.006
29,27,11,"(4, 5)",-2,eulerian,0.0,0.006
29,27,12,"(5, 6)",-2,eulerian,0.0,0.031
29,27,13,"(6, 7)",1,eulerian,0.0,0.007
29,27,14,"(6, 9)",-3,eulerian,0.0,0.01
29,27,16,"(7, 8)",3,eulerian,0.0,0.026
29,27,17,"(7, 10)",-2,eulerian,0.0,0.009
29,27,18,"(8, 9)",4,eulerian,0.0,0.034
29,27,19,"(8, 11)",-2,eulerian,0.0,0.011
29,27,20,"(9, 10)",1,eulerian,0.0,0.006
29,27,21,"(10, 11)",-1,eulerian,0.0,0.007
30,28,0,"(0, 1)",-3,eulerian,0.0,0.01
30,28,1,"(0, 11)",3,eulerian,0.0,0.009
30,28,4,"(1, 5)",-3,eulerian,0.0,0.021
30,28,6,"(2, 8)",2,eulerian,0.0,0.007
30,28,7,"(2, 11)",-2,eulerian,0.0,0.007
30,28,8,"(3, 4)",3,eulerian,0.0,0.025
30,28,9,"(3, 6)",-3,eulerian,0.0,0.025
30,28,11,"(4, 5)",3,eulerian,0.0,0.025
30,28,13,"(6, 7)",-4,eulerian,0.0,0.009
30,28,14,"(6, 9)",2,eulerian,0.0,0.009
30,28,15,"(6, 10)",-1,eulerian,0.0,0.017
30,28,16,"(7, 8)",-4,eulerian,0.0,0.018
30,28,18,"(8, 9)",-1,eulerian,0.0,0.026
30,28,19,"(8, 11)",-1,eulerian,0.0,0.006
30,28,20,"(9, 10)",1,eulerian,0.0,0.006
31,29,0,"(0, 1)",2,eulerian,0.0,0.01
31,29,1,"(0, 11)",-2,eulerian,0.0,0.009
31,29,2,"(1, 2)",5,eulerian,0.0,0.024
31,29,3,"(1, 3)",-3,eulerian,0.0,0.013
31,29,5,"(2, 3)",6,eulerian,0.0,0.028
31,29,6,"(2, 8)",-1,eulerian,0.0,0.023
31,29,8,"(3, 4)",-2,eulerian,0.0,0.006
31,29,9,"(3, 6)",4,not_connected,-1,0.023
31,29,10,"(3, 8)",1,eulerian,0.0,0.024
31,29,11,"(4, 5)",-2,eulerian,0.0,0.006
31,29,12,"(5, 6)",-2,eulerian,0.0,0.031
31,29,14,"(6, 9)",2,eulerian,0.0,0.01
31,29,16,"(7, 8)",1,eulerian,0.0,0.021
31,29,17,"(7, 10)",-1,eulerian,0.0,0.006
31,29,19,"(8, 11)",1,eulerian,0.0,0.008
31,29,20,"(9, 10)",2,eulerian,0.0,0.011
